指標,サンプル数,翌日,3日後,7日後,14日後
fr_daily_sum,458,0.049,0.127,0.173,0.144
fr_ma7,452,0.068,0.074,0.021,-0.072
fr_zscore,429,-0.025,-0.01,-0.006,0.037
oi_usd,458,-0.104,-0.167,-0.251,-0.296
oi_chg_1d,457,0.058,0.051,0.168,0.199
oi_chg_3d,455,0.047,0.128,0.233,0.173
volume_usd,458,-0.052,-0.091,-0.178,-0.197
vol_ratio,452,0.062,0.076,0.02,0.037
fee_total,353,-0.034,-0.002,-0.129,-0.132
fee_ratio,347,0.027,0.053,-0.004,0.011
usdc_supply,359,-0.053,-0.073,-0.1,-0.136
usdc_chg_1d,358,0.078,0.032,0.045,-0.048
usdc_chg_7d,352,-0.013,-0.106,-0.173,-0.163
bridged_usdc,464,-0.137,-0.203,-0.279,-0.33
bridge_flow_1d,464,0.051,0.031,0.011,0.028
bridge_flow_7d,464,0.005,-0.009,-0.005,0.048
bridge_flow_1d_pct,464,0.115,0.113,0.146,0.2
bridge_flow_7d_pct,464,0.097,0.136,0.187,0.27
liquidations_usd,453,-0.033,0.047,-0.027,-0.014
liq_ratio,417,-0.01,0.054,-0.028,0.033
twap_premium_7d,458,0.015,-0.001,0.108,0.09
spot_twap_7d,458,-0.112,-0.179,-0.277,-0.338
spot_twap_14d,451,-0.092,-0.141,-0.2,-0.263
