entry_time,exit_time,side,entry_px,exit_px,hold_bars,pnl_net_%,exit,fr_entry,oi_chg
12/09 04:00,12/09 08:00,SHORT,13.455,12.508,1,21.045,TP,1.0204,0.063
12/09 20:00,12/10 00:00,SHORT,13.538,13.051,1,10.722,TP,0.9869,0.1695
12/10 16:00,12/10 20:00,SHORT,13.194,13.562,1,-8.437,SL,0.9869,0.1695
12/11 16:00,12/12 04:00,SHORT,16.294,17.667,3,-25.349,SL,1.6394,0.5397
12/14 00:00,12/14 08:00,SHORT,20.92,20.499,2,5.967,TP,1.3954,0.3349
12/17 12:00,12/17 20:00,SHORT,27.0,25.583,2,15.674,TP,1.7703,0.1584
12/19 00:00,12/19 04:00,SHORT,24.547,25.687,1,-14.002,SL,1.116,0.0503
12/19 16:00,12/19 20:00,SHORT,23.986,24.92,1,-11.752,SL,1.116,0.0503
12/20 12:00,12/20 16:00,SHORT,30.175,29.522,1,6.422,TP,0.7367,0.0697
12/30 08:00,12/30 12:00,SHORT,27.99,27.138,1,9.062,TP,0.9502,0.0221
01/19 08:00,01/19 16:00,SHORT,22.278,23.018,2,-10.035,SL,2.2612,0.0383
01/19 20:00,01/20 04:00,SHORT,20.184,21.884,2,-25.338,SL,1.4274,-0.0434
05/09 04:00,05/09 16:00,SHORT,24.758,25.164,3,-4.99,SL,0.7496,0.1353
05/22 00:00,05/22 04:00,SHORT,30.542,31.232,1,-6.848,SL,0.8999,0.1623
05/22 12:00,05/22 16:00,SHORT,32.181,32.614,1,-4.107,SL,0.8999,0.1623
05/23 00:00,05/23 04:00,SHORT,35.557,34.848,1,5.912,TP,0.9747,0.069
05/23 08:00,05/23 16:00,SHORT,35.457,34.405,2,8.831,TP,0.9747,0.069
07/11 00:00,07/11 04:00,SHORT,44.58,45.245,1,-4.545,SL,0.5898,0.1081
10/06 12:00,10/06 16:00,SHORT,48.757,49.337,1,-3.639,SL,0.5002,0.0308
